English,Italian,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
galore,a bizzeffe,1,0,0,0,0,0,0,0,0,0
aboard,a bordo,0,0,0,0,0,0,0,0,0,0
headlong,a capofitto,0,0,0,0,0,0,0,0,0,0
randomly,a caso,0,0,0,0,0,0,0,0,1,0
unlike,a differenza di,0,0,0,0,0,0,0,0,0,0
remote,a distanza,0,0,0,0,0,0,0,0,0,0
flaky,a falde,0,0,0,0,0,0,0,0,0,0
barely,a mala pena,0,0,0,0,0,0,0,0,0,0
grudgingly,a malincuore,0,1,0,0,0,0,0,0,0,0
halfway,a metà strada,0,1,0,0,0,0,0,0,0,0
midway,a metà strada,0,0,0,0,0,0,0,0,0,0
asunder,a pezzi,0,0,0,0,0,0,0,0,0,0
barefoot,a piedi nudi,0,0,0,0,0,0,0,0,0,0
aft,a poppa,0,0,0,0,0,0,0,0,0,0
handy,a portata di mano,1,0,0,0,0,0,0,0,0,0
speaking,a proposito di,0,0,0,0,0,0,0,0,0,0
backward,a rovescio,0,1,0,0,0,0,0,0,0,0
grounded,a terra,0,1,0,0,0,1,0,1,0,0
wrongly,a torto,0,1,1,0,0,1,0,1,0,0
aloud,a voce alta,0,0,0,0,0,0,0,0,0,0
abacus,abaco,0,0,0,0,0,0,0,0,0,1
abbot,abate,0,0,0,0,0,0,0,0,0,1
abba,abba,1,0,0,0,0,0,0,0,0,0
dazzling,abbagliante,0,0,0,0,0,0,0,0,0,0
glaring,abbagliante,0,1,1,0,0,0,0,0,0,0
blunder,abbaglio,0,1,0,0,1,0,0,1,0,0
forsake,abbandonare,0,1,0,0,0,0,0,1,0,0
abandoned,abbandonato,0,1,1,0,0,1,0,1,0,0
forlorn,abbandonato,0,1,0,0,0,0,0,1,0,0
forsaken,abbandonato,0,1,1,0,0,0,0,1,0,0
abandon,abbandono,0,1,0,0,0,1,0,1,0,0
abandonment,abbandono,0,1,1,0,0,1,0,1,1,0
neglect,abbandono,0,1,0,0,0,0,0,0,0,0
lowering,abbassamento,0,1,0,0,0,0,0,0,0,0
fairly,abbastanza,1,0,0,0,0,0,0,0,0,1
fell,abbattere,0,1,0,0,0,0,0,1,0,0
breakdown,abbattersi,0,1,0,0,0,0,0,0,0,0
downcast,abbattuto,0,0,0,0,0,0,0,0,0,0
beautification,abbellimento,1,0,0,0,0,0,1,0,0,1
embellishment,abbellimento,0,0,0,0,0,0,0,0,0,0
beautify,abbellire,1,0,0,0,0,0,1,0,0,0
embellish,abbellire,0,0,0,0,0,0,0,0,0,0
apparel,abbigliamento,0,0,0,0,0,0,0,0,0,0
attire,abbigliamento,0,0,0,0,0,0,0,0,0,0
clothing,abbigliamento,0,0,0,0,0,0,0,0,0,0
garb,abbigliamento,0,0,0,0,0,0,0,0,0,0
subscription,abbonamento,0,0,0,0,0,0,0,0,0,0
subscribe,abbonarsi,0,0,0,1,0,0,0,0,0,0
commuter,abbonato,0,0,0,0,0,0,0,0,0,0
abundant,abbondante,1,0,0,0,0,0,1,0,0,0
abundance,abbondanza,1,1,0,1,1,0,1,0,0,1
plenty,abbondanza,0,0,0,0,0,0,0,0,0,0
